#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6908319597467,17,-0.202055961,0.154467493,-0.365025103,-0.133259997,0.871941388,-0.398249567,-0.251708776
6908352921894,18,-0.202179998,0.154425681,-0.365028024,-0.133219108,0.87195009,-0.398421466,-0.251428008
6908386264446,19,-0.202240303,0.154377222,-0.365002036,-0.13355653,0.872122467,-0.39814353,-0.251091152
6908419608561,20,-0.202217326,0.154354677,-0.364976853,-0.133849874,0.87197578,-0.398096293,-0.251518905
6908820319238,0,-0.20189546,0.154308051,-0.364396691,-0.133340597,0.872656524,-0.397546351,-0.25029546
6908853306425,1,-0.201879382,0.15435791,-0.36441499,-0.133144841,0.87280947,-0.397413731,-0.250076771
6908886273561,2,-0.201881319,0.154388532,-0.364477634,-0.133243144,0.872596979,-0.397588193,-0.250488311
6908919598457,3,-0.201869085,0.154418841,-0.364544362,-0.133327767,0.872545719,-0.397789568,-0.250302047
6908952927675,4,-0.201830119,0.154438481,-0.364572853,-0.133213654,0.87258482,-0.397814959,-0.250186145
6908986262832,5,-0.201821044,0.154434234,-0.36452511,-0.133033067,0.872813582,-0.397674263,-0.24970758
6909019596998,6,-0.201781601,0.154412225,-0.364418566,-0.132901132,0.872888982,-0.397415638,-0.249925941
6909052955175,7,-0.201828495,0.154382452,-0.364392608,-0.133076936,0.87285924,-0.397482395,-0.249829963
6909086274967,8,-0.201899096,0.154360235,-0.364378721,-0.133211911,0.873014271,-0.397232056,-0.249614432
6909136264863,9,-0.201945767,0.154388726,-0.364447713,-0.133254722,0.873023033,-0.397309691,-0.249437317
6909169633873,10,-0.201965004,0.154438898,-0.364539176,-0.133357286,0.872904122,-0.397367656,-0.249706209
6909202930019,11,-0.201946348,0.154499397,-0.364655316,-0.133663565,0.872759759,-0.397484154,-0.249861658
6909236341269,12,-0.201834992,0.154586598,-0.364750355,-0.133226231,0.872761488,-0.39748618,-0.25008586
6909269596842,13,-0.201727614,0.154642627,-0.364748001,-0.133162886,0.872723341,-0.39738059,-0.250420272
6909302929186,14,-0.201629579,0.15469946,-0.364758164,-0.133030906,0.872843146,-0.397297472,-0.250204504
6909327429394,15,-0.201628253,0.154703915,-0.364737809,-0.132874191,0.873098433,-0.39707166,-0.249755159
6909369606686,16,-0.20172435,0.154655933,-0.364702195,-0.13326247,0.87295717,-0.397064418,-0.250053436
6909402933040,17,-0.20186691,0.154600009,-0.36469996,-0.133363962,0.873041987,-0.397201657,-0.249484584
6909436291425,18,-0.201941684,0.154587179,-0.36467585,-0.133890614,0.872755051,-0.397307128,-0.250038028
6909469641373,19,-0.201884508,0.154619426,-0.364666581,-0.133666247,0.872819602,-0.397276223,-0.249981686
6909502929654,20,-0.201802984,0.154643998,-0.364637583,-0.133600384,0.872849941,-0.39719525,-0.250039697
6909902953456,0,-0.202095628,0.154837132,-0.364406526,-0.133865505,0.873549998,-0.396734834,-0.248177126
6909936269602,1,-0.202235892,0.154810265,-0.364476502,-0.134236544,0.873410702,-0.396597207,-0.248686388
6909969607883,2,-0.20234479,0.154726341,-0.364407957,-0.134427771,0.873610854,-0.396498621,-0.248036399
6910002932415,3,-0.202444285,0.154546857,-0.364054114,-0.134877533,0.873835921,-0.39593327,-0.247902632
6910036277571,4,-0.202551827,0.154363975,-0.363526672,-0.135687694,0.874207139,-0.395044953,-0.247568548
6910069592935,5,-0.202449933,0.154266581,-0.363054603,-0.135926187,0.87458998,-0.394150168,-0.247511894
6910119603039,6,-0.202201232,0.154271618,-0.362793058,-0.135851786,0.874790967,-0.393508881,-0.247862518
